,address,price,price_change,area,list_fee,sold_date,price_sqm,sqm,rooms,Hiss,Uteplats,Nyproduktion,Balkong
1477,"Alströmergatan 32 uppg A, 1 tr",4125000,-0.02,Kungsholmen,2356.0,2022-10-10,105769,39,1.5,1,1,0,1
1478,Karlbergsvägen 87A,3200000,0.16,Birkastan,1768.0,2022-10-10,96970,33,1,1,0,0,0
1479,"Jungfrugatan 11, 3 tr",5100000,-0.07,Östermalm,1422.0,2022-10-10,108511,47,2.5,1,0,0,1
1480,Hagaesplanaden 76,3280000,-0.03,Hagastaden,2134.0,2022-10-10,93714,35,2,1,0,0,0
1481,Engelbrektsgatan 17,32500000,-0.07,Östermalm,6975.0,2022-10-10,157767,206,6,0,0,0,0
1482,"Luntmakargatan 75, 2tr",6800000,-0.01,Vasastan,3065.0,2022-10-10,103030,66,2,0,0,0,0
1483,Kocksgatan 20A,8600000,-0.04,Södermalm - SoFo,3954.0,2022-10-10,98851,87,3,0,0,0,1
1484,Levertinsgatan 1,2820000,0.01,Kristineberg,2539.0,2022-10-10,80571,35,1,1,0,0,0
1485,Scheelegatan 4,5210000,-0.05,Kungsholmen,1112.0,2022-10-10,113261,46,2,1,0,0,1
1486,Sankt eriksgatan 39,2800000,0.12,Kungsholmen,790.0,2022-10-10,103704,27,1,1,1,0,0
1487,Upplandsgatan 32,7775000,-0.08,Vasastan,4458.0,2022-10-10,90936,"85,5",3.5,1,0,0,0
1488,Ringvägen 87,4050000,0.04,Katarina,2495.0,2022-10-09,78641,"51,5",2,1,1,0,0
1489,"Sankt Eriksgatan 84, 3 tr",9000000,0.0,Vasastan,2680.0,2022-10-09,108434,83,3,1,0,0,1
1490,"Emmy rappes gata 2, vån 4",3500000,0.0,Hagastaden,2032.0,2022-10-09,106061,33,1.5,1,0,0,0
1491,Inedalsgatan 9B,6150000,,Kungsholmen,2338.0,2022-10-09,94615,65,3,1,0,0,1
1492,Sibyllegatan 83,4950000,-0.01,Östermalm,1257.0,2022-10-09,133784,37,2,0,0,0,0
1493,Möregatan 7,2795000,0.0,Södermalm,2317.0,2022-10-08,99821,28,1.5,1,0,0,1
1494,"Fridhemsgatan 14A, 2 tr",5500000,0.11,Kungsholmen,3011.0,2022-10-08,105769,52,2,1,0,0,0
1495,"Hagaesplanaden 76, 4tr",3750000,-0.04,Vasastan - Hagastaden,2234.0,2022-10-08,107143,35,2,1,0,0,1
1496,Västmannagatan 39,6800000,0.13,Vasastan,2524.0,2022-10-08,117241,58,2,1,0,0,0
1497,Östermalmsgatan 65A,8850000,-0.02,Östermalm,3417.0,2022-10-08,107927,82,4,1,1,0,0
1498,Gästrikegatan 8,10650000,0.01,Vasastaden,4966.0,2022-10-08,125294,85,3,1,0,0,1
1499,Sankt Eriksgatan 14,8200000,-0.03,Kungsholmen,3463.0,2022-10-08,98795,83,3,1,0,0,1
1500,Upplandsgatan 87,7300000,-0.03,Vasastan,2507.0,2022-10-08,108955,67,2,1,0,0,0
1501,"Jaktvarvsplan 3, 4tr",3550000,0.08,Kungsholmen - Nedre Kungsholmen,2145.0,2022-10-08,95946,37,2,1,0,0,0
1502,Heleneborgsgatan 7A,7400000,0.09,Högalid,3009.0,2022-10-07,108824,68,3,1,0,0,1
1503,"Folkskolegatan 20, 3 tr",6670000,0.03,Högalid,4535.0,2022-10-07,98088,68,3,1,0,0,0
1504,"Hornsgatan 146 B, 2 tr",6995000,-0.05,Hornstull,4006.0,2022-10-07,74336,"94,1",4,1,0,0,1
1505,Fatburs Brunnsgata 32,4950000,-0.01,Stockholm,3328.0,2022-10-07,76154,65,2,1,0,0,1
1506,"Borgargatan 2, högst upp",12250000,0.02,Högalid,4819.0,2022-10-07,110360,111,4,1,0,0,1
1507,Ulriksborgsgatan 16,4630000,0.03,Stadshagen,3002.0,2022-10-07,71783,"64,5",2,1,0,0,1
1508,"Vitalisvägen 7, 2tr",3150000,0.05,Kungsholmen - Fredhäll,2201.0,2022-10-07,78750,40,2,0,0,0,0
1509,Vickergatan 11,3400000,0.03,Katarina,2296.0,2022-10-07,83951,"40,5",2,0,0,0,0
1510,"Bastugatan 21,3tr",5850000,,Södermalm / Mariaberget,3014.0,2022-10-07,108333,54,1.5,1,0,0,1
1511,Frejgatan 47,3275000,0.0,Vasastan,675.0,2022-10-07,121296,27,1,1,0,0,0
1512,Högbergsgatan 42B,8900000,,Södermalm Maria,8322.0,2022-10-07,65926,135,6,1,0,0,1
1513,Götgatan 101,5440000,0.09,Södermalm,2554.0,2022-10-07,83692,65,2,1,0,0,1
1514,"Nackagatan 20, 3 tr",5500000,,Södermalm,5055.0,2022-10-07,82707,"66,5",3,1,0,0,1
1515,Ringvägen 162,3000000,0.0,Södermalm,1983.0,2022-10-07,78947,38,1.5,1,0,0,0
1516,Völundsgatan 9,4000000,0.07,Atlasområdet,2565.0,2022-10-07,111111,36,1,1,0,0,1
1517,Birkagatan 4,5725000,-0.12,Vasastan,3179.0,2022-10-07,89734,"63,8",2,0,0,0,0
1518,Roslagsgatan 23,6400000,-0.05,Vasastan - Sibirien,2692.0,2022-10-07,106667,60,2,1,0,0,0
1519,"Flintbacken 2, 12 tr",2550000,0.02,Södermalm,1498.0,2022-10-07,86441,"29,5",1,1,0,0,0
1520,Kungsholms strand 121,4330000,,Kungsholmen - Kungsbro strand,2345.0,2022-10-07,88367,49,2,1,0,0,0
1521,Sven Rinmans Gata 3,9600000,-0.04,Kungsholmen/Norr Mälarstrand,5083.0,2022-10-07,98969,97,4,1,0,0,0
1522,Gumshornsgatan 9,4900000,-0.02,Östermalm-Karlaplan,2265.0,2022-10-07,111364,44,1.5,1,0,0,0
1523,Baltzar von Platens gata 3,5995000,0.0,Kungsholmen,2467.0,2022-10-07,105175,57,3,1,0,0,0
1524,Frejgatan 47,3275000,0.0,Vasastan,,2022-10-07,,,,0,0,0,0
1525,"Alströmergatan 32H, 4tr",4050000,-0.01,Kungsholmen,2642.0,2022-10-07,90000,45,2,0,0,0,0
1526,"Fridhemsgatan 13, 5tr",6295000,0.0,Kungsholmen,3269.0,2022-10-07,92574,68,3,1,0,0,1
1527,"Frödingsvägen 2, 1,5 tr",4500000,0.02,Fredhäll,2518.0,2022-10-07,84906,53,3,0,0,0,0
1528,Birkagatan 28A,8800000,,Vasastan,1872.0,2022-10-07,146667,60,3,1,0,0,1
1529,"Tavastgatan 14, 5 tr",12100000,0.05,Södermalm - Mariaberget,4555.0,2022-10-07,117476,103,4,1,0,0,1
1530,Styrmansgatan 9,11250000,0.07,Östermalm,3160.0,2022-10-07,146104,77,3,1,0,0,1
1531,Ploggatan 12,3500000,0.0,Södermalm - Sofia,1976.0,2022-10-07,94595,37,2,0,0,0,1
1532,Hornsgatan 119,2615000,0.09,Hornstull,1591.0,2022-10-07,79242,33,1,1,0,0,1
1533,"Lundagatan 48B, 2 tr",3200000,0.14,Södermalm,1541.0,2022-10-07,114286,28,1.5,0,0,0,1
1534,Fleminggatan 40E,7400000,0.0,Kungsholmen,3727.0,2022-10-07,91358,81,3,1,0,0,1
1535,Nybrogatan 56,3295000,0.0,Östermalm,1721.0,2022-10-07,102969,32,1,1,0,0,0
1536,Wittstocksgatan 21,4525000,-0.02,Östermalm,2741.0,2022-10-07,94271,48,2,1,0,0,0
1537,Krukmakargatan 33A,7600000,0.09,Södermalm,2742.0,2022-10-07,98701,77,3,1,0,0,1
1538,Valfrid Palmgrens gata 7,4800000,-0.04,Hagastaden,934.0,2022-10-07,150000,32,1,1,0,0,0
1539,"Kungsklippan 20, 8tr",3425000,0.09,Kungsholmen,2724.0,2022-10-07,107031,32,2,1,0,0,1
1540,Hornsgatan 75B,6600000,,Södermalm Högalid,1659.0,2022-10-07,110000,60,2,0,0,0,1
1541,Västmannagatan 77,8800000,0.04,Vasastan - Odenplan,2870.0,2022-10-07,129412,68,3,1,0,0,1
1542,Västmannagatan 77,9300000,-0.02,Vasastan,3721.0,2022-10-07,112048,83,4,0,0,0,0
1543,"Folkungagatan 146 A, 2 tr",11050000,-0.07,Sofia,3988.0,2022-10-06,94444,117,4,1,0,0,1
1544,"Bergsundsgatan 7, 3tr",2950000,0.18,Södermalm - Hornstull,2307.0,2022-10-06,95161,31,1,1,0,0,0
